Country,Policy,Year,Biomass,Catch,Profits,MSY
Country E,Business As Usual,2046,25398824.739849593,1251592.5499205664,115871500.48410666,1845873.3002868423
Country E,Business As Usual,2047,25492792.105555557,1248930.0115329742,134589760.2558697,1845873.3002868423
Country E,Business As Usual,2048,25592155.474608872,1252081.8453140864,148957956.9738815,1845873.3002868423
Country E,Business As Usual,2049,25674066.60404855,1254030.6297975227,173482263.1053124,1845873.3002868423
Country E,Business As Usual,2050,25778649.6935614,1252845.5416665997,195362282.10968,1845873.3002868423
Country E,Fmsy,2013,30478491.619087953,2034808.6581536224,772210872.2158952,1845873.3002868423
Country E,Fmsy,2014,29962339.288336642,1984979.8584871,973507926.543824,1845873.3002868423
Country E,Fmsy,2015,29606432.428340442,1947546.4295165092,1003645572.9749155,1845873.3002868423
Country E,Fmsy,2016,29263519.563716117,1912863.5856153609,1018868908.4238356,1845873.3002868423
Country E,Fmsy,2017,29032416.88955267,1887175.7480985583,1035711161.3107166,1845873.3002868423
Country E,Fmsy,2018,28778740.823711533,1861286.6675413034,1045344371.9268073,1845873.3002868423
Country E,Fmsy,2019,28564355.168946315,1839067.6812820525,1052361259.6729348,1845873.3002868423
Country E,Fmsy,2020,28400108.522258367,1820722.1730548802,1058153073.9346995,1845873.3002868423
Country E,Fmsy,2021,28282474.12600539,1805807.5663727713,1063674649.9641609,1845873.3002868423
Country E,Fmsy,2022,28161603.68221534,1791912.6257115135,1057671436.901799,1845873.3002868423
Country E,Fmsy,2023,28114376.61618543,1782702.4547589917,1044500741.1749285,1845873.3002868423
Country E,Fmsy,2024,28063245.6488881,1773723.1265841378,1036744681.5637265,1845873.3002868423
Country E,Fmsy,2025,28018433.177597243,1765714.8319801316,1043547477.8488855,1845873.3002868423
Country E,Fmsy,2026,28007654.51097315,1759789.5101699901,1047719928.611526,1845873.3002868423
Country E,Fmsy,2027,27999139.63009916,1754555.6116677884,1053131197.3637489,1845873.3002868423
Country E,Fmsy,2028,27999898.75769435,1750174.280997507,1056693055.6547897,1845873.3002868423
Country E,Fmsy,2029,28007143.536029425,1746532.5408737701,1061107507.8573542,1845873.3002868423
Country E,Fmsy,2030,28035648.737725426,1744174.6913383123,1065951064.6630905,1845873.3002868423
Country E,Fmsy,2031,28062224.347905666,1742198.0441939258,1070240986.2272587,1845873.3002868423
Country E,Fmsy,2032,28095764.062818214,1740753.20080243,1074154061.095726,1845873.3002868423
Country E,Fmsy,2033,28138244.428391952,1740035.2400013926,1078741746.3132792,1845873.3002868423
Country E,Fmsy,2034,28186079.50617119,1739747.4088641123,1082944890.728894,1845873.3002868423
Country E,Fmsy,2035,28239995.86962795,1739911.4418594227,1087554091.811981,1845873.3002868423
